ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I094,D031,Ref036,Asia,NR033,135.7009547,35.40004866,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I095,D031,Ref036,Asia,NR034,135.716529,35.308225,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I088,D031,Ref036,Asia,NR035,136.4455852,35.41743247,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I087,D031,Ref036,Asia,NR036,136.5082178,35.12225291,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I086,D031,Ref036,Asia,NR037,136.477887,35.012738,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I085,D031,Ref036,Asia,NR038,136.3980342,34.88120711,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I089,D031,Ref036,Asia,NR039,136.0914936,35.25456267,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I096,D032,Ref037,Europe,NR040,2.320383494,48.87797126,France,2017,7,Teleo,12S,108,30,2,60,Custom_db
I097,D032,Ref037,Europe,NR040,2.320383494,48.87797126,France,2018,7,Teleo,12S,108,30,2,60,Custom_db
I098,D033,Ref038,Europe,NR041,5.350049281,45.72988132,France,Multiple,Multiple,Teleo,12S,108,30,3,90,Custom_db
I100,D035,Ref040,South_America,NR042,-74.98604341,8.84369844,Colombia,2019,7,Riaz01,12S,130,42.33,7,296.31,Global_db
I101,D036,Ref042,Oceania,NR043,174.8212,-37.8269,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db
I102,D036,Ref042,Oceania,NR044,174.69608,-38.50829,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db
I105,D036,Ref042,Oceania,NR045,176.974264,-39.300211,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db
I104,D036,Ref042,Oceania,NR046,176.880069,-39.313482,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db
I103,D036,Ref042,Oceania,NR047,176.9025,-39.8269,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db
I106,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2018,10,MiFish,12S,170,0.9,1,0.9,Global_db
I107,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2018,11,MiFish,12S,170,0.9,1,0.9,Global_db
